aplicativo,comentario,nota
Pigz,aplicativo tem sido muito bom até então gostaria de deixar uma sugestão na aba ingressos acredito que seria interessante adicionar opção de colocar os dados de outra pessoa quando compra mais de um ingresso comprei dois ingressos recentemente não consegui colocar os dados da minha esposa então os dois ingressos saíram no meu nome acredito que não dê problemas porém já algo para se pensar futuramente parabéns aos desenvolvedores nunca tive problema no app,4
Pigz,sempre atende minhas expectativas,5
Pigz,aplicativo excelente para os dias de hoje prático eficiente,5
Pigz,muito bom uso muito recomendo,5
Pigz,ótimo aplicativo nunca foi tão fácil pedir de forma online com uma diversidade de lojas atendidas,5
Pigz,melhor app para pedidos delivery,5
Pigz,não consigo logar na minha conta não consigo fazer pedidos quando tento entrar pelo número de celular ele diz que código expirou mesmo que eu tenha acabado de receber,1
Pigz,deveria aceitar cartão de débito no app também,1
Pigz,top hoje segunda vez sou novato,5
Pigz,ótimo app recomendo de mais,5
Pigz,vocês precisam melhorar opção de entrega onde eu moro por exemplo difícil de encontrar no mapa como aplicativo só permite adicionar endereços que ele mesmo sugere fica difícil relatar ao entregador onde local exato pois nunca encontro pela sugestão habilitem opção de editar endereço manualmente também uma função de gps no mapa,4
Pigz,dou quatro estrelas porquê app pode melhorar não tem avaliação de pedido nem de estabelecimento outro ponto interessante poder adicionar mais itens no pedido antes dele sair pra entrega como uma bebida ou outro item que não comprometa tempo de entrega uma ideia adicional ter uma taxa para quem quer que entregador suba prédio evitando brigas cadê uma notificação informando que pedido saiu para entrega,4
Pigz,acpmpra mesmo com orientação sobre pedido mandaram só gordura assada,5
Pigz,podiam só pedir para os vendedores atenderem no número que colocam meu pedido tá atrasado não tem lugar para reclamar pigz só me direciona para número do vendedor mesmo sequer ler,1
Pigz,queria saber se vocês tem entregador,4
Pigz,bomas pq não tem uma opção de chat com restaurante toda vez que restaurante demora eu sou obrigado ligar lá mesmo as vezes estando sem crédito não tem como falar por chat,2
Pigz,eu gosto que chega rapido,5
Pigz,aplicativo não permite uso de cartão somente pix também não atualiza on time,2
Pigz,super fácil de usar grande variedade 👏🏻👏🏻👏🏻,5
Pigz,solicito algo depois modifica,2
Pigz,fácil de usar pode fazer pedido sem login muito ágil,5
Pigz,melhor aplicativo para minha cidade,5
Pigz,demorou um pouco pra aceitar pagamento em dinheiro,4
Pigz,prático rápido muito bom ainda acompanho entregasuper gostei👍,5
Pigz,melhor aplicativo de delivery super intuitivo prático rápido suporte realmente funciona parabéns 🙌🙌,5
Pigz,experiência incrível muito fácil para realizar pedidos muito simples para entendimento,5
Pigz,app realmente excelente fácil de usar muito produtivo,5
Pigz,estou desinstalando app necessita melhorar ofertar avaliação dos restaurantes para os clientes fazerem,2
Pigz,gostei muito do app fazer um pedido online nunca foi tão fácil consigo encontrar diversas opções de doces salgados enfim se você procura um app rápido bonito com qualidade só baixar pigz,5
Pigz,não ter opção de cancelar um saco fiquei mais de esperando pedido loja não respondia não tinha como cancelar,1
Pigz,conveniência seven tem mais que melhorar total descaso com cliente contratam blogueiros pra anunciar mas serviço atendimento deixam desejar igual propaganda da prefeitura muita publicidade pouco serviço app também tem que abrir um espaço pra avaliações comentários dos restaurantes comércios etc entrega demora muito aqui não tem engarrafamento muito menos trânsito,2
Pigz,genéteu sei que depende de mula coisas eu lomo sou lado cora tamble so tenho que gradecer grol tidão postudo am en,5
Pigz,app deveria disponibilizar reclamações no restaurantepedi na pizzaria seven conveniência mandaram uma coisa nada aver com meu pedido pedi reembolso da diferença do preço eles não me respondeu mais não foi primeira vez que isso acontece no app pigz,1
Pigz,que fazer quando pedido diz que foi entregue sendo não foi pessoa tem sair casa ir lá na loja pedir dinheiro volta,1
Pigz,tem que ter avaliação das lojas tive um péssimo serviço local longe dessa forma provavelmente haverá imigrações para outros app para que cliente tenha direito de saber qual tipo de loja vale pena ou não comprar,3
Pigz,poderia ter opção de cancelar pedido quando ele for duplicado já que algumas lojas não atendem chamadas,3
Pigz,pagamento online como ifood não faz pagamento no crédito,1
Pigz,tem que colocar avaliações nas lojas não dá de comprar algo saber se loja tem uma avaliação boa poderia ter opção de ver onde entregador está em tempo real,4
Pigz,depois da penúltima atualização no celular redminot as empresas pararam de carregar ficando num eterno carregamento,1
Pigz,aplicativo bom intuitivo mas precisa melhorar no quesito comunicação com os clientes com lojas com os desenvolvedores do app quando for necessário,3
Pigz,top como fazer pra cadastrar loja,5
Pigz,preços iguais aos da loja física,5
Pigz,app excelente super fácil de usar não previsa de cadastro valor dos produtos igualzinho ao da loja amei 😍❤️,5
Pigz,rápido prático fácil recomendado,5
Pigz,gostei baixei por causa do meu amigoirmão mit,5
Pigz,cinco estrela por que fácil prático bem intuitivo,5
